==========fail to load checkpoint from teacher_modelV3_imagenette/checkpoint
==========[30/400]	loss 0.409	top1 acc 86.000 (89.000)	top5 acc 100.000	Train top1 81.492	loss 0.572	(128, 83.000), (160, 84.000), (192, 90.000), (224, 87.000), 
==========[31/400]	loss 0.310	top1 acc 88.500 (89.000)	top5 acc 99.750	Train top1 81.492	loss 0.579	(128, 88.000), (160, 87.000), (192, 90.000), (224, 89.000), 
==========[32/400]	loss 0.329	top1 acc 88.750 (89.000)	top5 acc 99.500	Train top1 81.823	loss 0.556	(128, 86.000), (160, 91.000), (192, 91.000), (224, 87.000), 
==========[33/400]	loss 0.358	top1 acc 87.250 (89.000)	top5 acc 99.750	Train top1 82.880	loss 0.529	(128, 85.000), (160, 84.000), (192, 91.000), (224, 89.000), 
==========[34/400]	loss 0.393	top1 acc 88.750 (89.000)	top5 acc 98.750	Train top1 83.339	loss 0.518	(128, 86.000), (160, 89.000), (192, 90.000), (224, 90.000), 
==========[35/400]	loss 0.295	top1 acc 90.500 (90.500)	top5 acc 99.000	Train top1 83.317	loss 0.515	(128, 87.000), (160, 91.000), (192, 93.000), (224, 91.000), 
==========[36/400]	loss 0.346	top1 acc 86.500 (90.500)	top5 acc 98.250	Train top1 84.737	loss 0.478	(128, 86.000), (160, 86.000), (192, 87.000), (224, 87.000), 
==========[37/400]	loss 0.384	top1 acc 86.250 (90.500)	top5 acc 100.000	Train top1 84.043	loss 0.490	(128, 85.000), (160, 86.000), (192, 86.000), (224, 88.000), 
==========[38/400]	loss 0.340	top1 acc 87.750 (90.500)	top5 acc 100.000	Train top1 84.043	loss 0.494	(128, 84.000), (160, 87.000), (192, 90.000), (224, 90.000), 
==========[39/400]	loss 0.424	top1 acc 84.250 (90.500)	top5 acc 98.750	Train top1 84.139	loss 0.493	(128, 82.000), (160, 82.000), (192, 86.000), (224, 87.000), 
==========[40/400]	loss 0.369	top1 acc 88.750 (90.500)	top5 acc 99.000	Train top1 84.555	loss 0.472	(128, 85.000), (160, 88.000), (192, 90.000), (224, 92.000), 
==========[41/400]	loss 0.371	top1 acc 89.750 (90.500)	top5 acc 98.500	Train top1 84.854	loss 0.462	(128, 89.000), (160, 87.000), (192, 92.000), (224, 91.000), 
==========[42/400]	loss 0.464	top1 acc 86.500 (90.500)	top5 acc 99.250	Train top1 85.612	loss 0.456	(128, 83.000), (160, 86.000), (192, 88.000), (224, 89.000), 
==========[43/400]	loss 0.344	top1 acc 88.000 (90.500)	top5 acc 100.000	Train top1 85.986	loss 0.440	(128, 83.000), (160, 88.000), (192, 91.000), (224, 90.000), 
==========[44/400]	loss 0.431	top1 acc 85.000 (90.500)	top5 acc 99.250	Train top1 85.175	loss 0.457	(128, 83.000), (160, 86.000), (192, 86.000), (224, 85.000), 
==========[45/400]	loss 0.396	top1 acc 86.250 (90.500)	top5 acc 100.000	Train top1 84.972	loss 0.462	(128, 84.000), (160, 86.000), (192, 87.000), (224, 88.000), 
==========[46/400]	loss 0.438	top1 acc 86.500 (90.500)	top5 acc 100.000	Train top1 85.580	loss 0.442	(128, 85.000), (160, 85.000), (192, 89.000), (224, 87.000), 
==========[47/400]	loss 0.314	top1 acc 87.000 (90.500)	top5 acc 100.000	Train top1 86.039	loss 0.436	(128, 85.000), (160, 87.000), (192, 90.000), (224, 86.000), 
==========[48/400]	loss 0.407	top1 acc 87.500 (90.500)	top5 acc 99.750	Train top1 86.893	loss 0.412	(128, 84.000), (160, 85.000), (192, 90.000), (224, 91.000), 
==========[49/400]	loss 0.282	top1 acc 93.000 (93.000)	top5 acc 99.750	Train top1 86.188	loss 0.431	(128, 91.000), (160, 93.000), (192, 94.000), (224, 94.000), 
==========[50/400]	loss 0.315	top1 acc 88.000 (93.000)	top5 acc 99.250	Train top1 87.053	loss 0.410	(128, 86.000), (160, 89.000), (192, 88.000), (224, 89.000), 
==========[51/400]	loss 0.300	top1 acc 89.750 (93.000)	top5 acc 99.500	Train top1 86.925	loss 0.406	(128, 87.000), (160, 89.000), (192, 93.000), (224, 90.000), 
==========[52/400]	loss 0.266	top1 acc 90.250 (93.000)	top5 acc 100.000	Train top1 86.615	loss 0.414	(128, 87.000), (160, 92.000), (192, 91.000), (224, 91.000), 
==========[53/400]	loss 0.249	top1 acc 91.250 (93.000)	top5 acc 99.750	Train top1 87.064	loss 0.411	(128, 91.000), (160, 90.000), (192, 93.000), (224, 91.000), 
==========[54/400]	loss 0.278	top1 acc 90.250 (93.000)	top5 acc 99.250	Train top1 87.971	loss 0.376	(128, 88.000), (160, 89.000), (192, 92.000), (224, 92.000), 
==========[55/400]	loss 0.278	top1 acc 91.000 (93.000)	top5 acc 99.250	Train top1 87.352	loss 0.388	(128, 89.000), (160, 89.000), (192, 93.000), (224, 93.000), 
==========[56/400]	loss 0.330	top1 acc 89.250 (93.000)	top5 acc 99.500	Train top1 88.046	loss 0.369	(128, 87.000), (160, 89.000), (192, 91.000), (224, 90.000), 
==========[57/400]	loss 0.302	top1 acc 90.750 (93.000)	top5 acc 99.250	Train top1 87.512	loss 0.385	(128, 91.000), (160, 91.000), (192, 91.000), (224, 90.000), 
==========[58/400]	loss 0.287	top1 acc 91.000 (93.000)	top5 acc 98.750	Train top1 88.387	loss 0.362	(128, 90.000), (160, 94.000), (192, 92.000), (224, 88.000), 
==========[59/400]	loss 0.313	top1 acc 88.500 (93.000)	top5 acc 99.750	Train top1 87.651	loss 0.371	(128, 85.000), (160, 90.000), (192, 90.000), (224, 89.000), 
==========[60/400]	loss 0.338	top1 acc 88.750 (93.000)	top5 acc 98.750	Train top1 88.558	loss 0.358	(128, 86.000), (160, 87.000), (192, 90.000), (224, 92.000), 
==========[61/400]	loss 0.335	top1 acc 88.250 (93.000)	top5 acc 99.000	Train top1 88.675	loss 0.358	(128, 86.000), (160, 88.000), (192, 91.000), (224, 88.000), 
==========[62/400]	loss 0.304	top1 acc 89.500 (93.000)	top5 acc 99.000	Train top1 87.864	loss 0.364	(128, 88.000), (160, 90.000), (192, 92.000), (224, 88.000), 
==========[63/400]	loss 0.306	top1 acc 89.500 (93.000)	top5 acc 100.000	Train top1 88.334	loss 0.364	(128, 90.000), (160, 91.000), (192, 89.000), (224, 88.000), 
==========[64/400]	loss 0.276	top1 acc 90.500 (93.000)	top5 acc 98.500	Train top1 88.675	loss 0.348	(128, 87.000), (160, 90.000), (192, 91.000), (224, 94.000), 
==========[65/400]	loss 0.315	top1 acc 90.500 (93.000)	top5 acc 100.000	Train top1 88.836	loss 0.348	(128, 89.000), (160, 90.000), (192, 90.000), (224, 93.000), 
==========[66/400]	loss 0.306	top1 acc 92.000 (93.000)	top5 acc 99.250	Train top1 88.665	loss 0.354	(128, 91.000), (160, 93.000), (192, 94.000), (224, 90.000), 
==========[67/400]	loss 0.248	top1 acc 90.500 (93.000)	top5 acc 99.500	Train top1 88.964	loss 0.339	(128, 90.000), (160, 91.000), (192, 92.000), (224, 89.000), 
==========[68/400]	loss 0.287	top1 acc 89.250 (93.000)	top5 acc 100.000	Train top1 89.241	loss 0.326	(128, 88.000), (160, 88.000), (192, 91.000), (224, 90.000), 
==========[69/400]	loss 0.299	top1 acc 89.000 (93.000)	top5 acc 99.000	Train top1 89.006	loss 0.348	(128, 86.000), (160, 88.000), (192, 90.000), (224, 92.000), 
==========[70/400]	loss 0.280	top1 acc 91.250 (93.000)	top5 acc 99.750	Train top1 89.166	loss 0.331	(128, 90.000), (160, 92.000), (192, 91.000), (224, 92.000), 
==========[71/400]	loss 0.334	top1 acc 90.000 (93.000)	top5 acc 99.250	Train top1 88.825	loss 0.340	(128, 90.000), (160, 91.000), (192, 88.000), (224, 91.000), 
==========[72/400]	loss 0.316	top1 acc 89.250 (93.000)	top5 acc 99.750	Train top1 89.102	loss 0.344	(128, 87.000), (160, 90.000), (192, 92.000), (224, 88.000), 
==========[73/400]	loss 0.237	top1 acc 92.250 (93.000)	top5 acc 99.000	Train top1 89.743	loss 0.323	(128, 91.000), (160, 92.000), (192, 93.000), (224, 93.000), 
==========[74/400]	loss 0.271	top1 acc 90.000 (93.000)	top5 acc 99.000	Train top1 89.967	loss 0.309	(128, 87.000), (160, 89.000), (192, 91.000), (224, 93.000), 
==========[75/400]	loss 0.273	top1 acc 90.500 (93.000)	top5 acc 99.250	Train top1 89.519	loss 0.328	(128, 91.000), (160, 91.000), (192, 91.000), (224, 89.000), 
==========[76/400]	loss 0.316	top1 acc 89.250 (93.000)	top5 acc 99.000	Train top1 89.721	loss 0.315	(128, 87.000), (160, 89.000), (192, 89.000), (224, 92.000), 
